age,workclass,education,marital_status,occupation,sex,race,hours_per_week,income
69,Self-emp-not-inc,11th,Married-civ-spouse,Tech-support,Male,Asian-Pac-Islander,53,<=50K
69,Local-gov,HS-grad,Married-civ-spouse,Other-service,Male,Black,43,>50K
42,Local-gov,11th,Never-married,Other-service,Female,Black,57,<=50K
33,Private,HS-grad,Never-married,Tech-support,Male,Hispanic,52,<=50K
29,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,Male,Black,27,<=50K
68,Private,Some-college,Divorced,Sales,Male,White,34,>50K
60,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Female,Black,44,>50K
39,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Female,Hispanic,20,<=50K
23,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Female,Hispanic,30,<=50K
39,Private,Some-college,Married-civ-spouse,Exec-managerial,Male,White,21,>50K
37,Local-gov,Bachelors,Divorced,Sales,Female,Black,48,<=50K
57,Local-gov,11th,Divorced,Sales,Female,Asian-Pac-Islander,39,<=50K
46,State-gov,Masters,Married-civ-spouse,Exec-managerial,Female,Black,26,<=50K
23,State-gov,11th,Never-married,Sales,Male,Black,32,>50K
50,Local-gov,Bachelors,Never-married,Craft-repair,Male,Hispanic,26,<=50K
35,State-gov,11th,Divorced,Sales,Female,White,40,<=50K
30,Self-emp-not-inc,Some-college,Divorced,Sales,Female,Black,53,<=50K
53,Private,HS-grad,Divorced,Exec-managerial,Female,White,20,<=50K
45,Self-emp-not-inc,HS-grad,Divorced,Tech-support,Male,Asian-Pac-Islander,43,<=50K
29,Private,Bachelors,Married-civ-spouse,Tech-support,Female,Asian-Pac-Islander,59,<=50K
36,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Male,White,39,>50K
31,Self-emp-not-inc,Some-college,Divorced,Tech-support,Male,Black,56,<=50K
69,State-gov,11th,Married-civ-spouse,Sales,Male,Hispanic,20,<=50K
45,Self-emp-not-inc,HS-grad,Divorced,Other-service,Male,White,30,<=50K
57,State-gov,Masters,Divorced,Craft-repair,Male,Asian-Pac-Islander,50,<=50K
40,Self-emp-not-inc,HS-grad,Divorced,Tech-support,Male,Asian-Pac-Islander,38,<=50K
65,Local-gov,11th,Never-married,Craft-repair,Male,Hispanic,59,<=50K
41,Self-emp-not-inc,Masters,Divorced,Craft-repair,Female,Hispanic,22,<=50K
61,Private,Masters,Never-married,Sales,Female,Asian-Pac-Islander,54,<=50K
42,Self-emp-not-inc,11th,Married-civ-spouse,Tech-support,Female,Hispanic,35,<=50K
67,Self-emp-not-inc,Some-college,Divorced,Sales,Female,Asian-Pac-Islander,30,<=50K
43,Local-gov,Some-college,Never-married,Sales,Male,Hispanic,20,<=50K
56,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Male,Black,43,<=50K
23,Self-emp-not-inc,11th,Divorced,Other-service,Male,Asian-Pac-Islander,57,<=50K
50,Self-emp-not-inc,Masters,Married-civ-spouse,Tech-support,Female,Hispanic,33,<=50K
54,Self-emp-not-inc,Some-college,Never-married,Other-service,Female,Asian-Pac-Islander,46,<=50K
68,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Female,Hispanic,46,<=50K
33,Local-gov,11th,Married-civ-spouse,Other-service,Male,Black,22,<=50K
22,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Male,Asian-Pac-Islander,38,>50K
50,State-gov,Some-college,Divorced,Craft-repair,Male,Asian-Pac-Islander,55,>50K
60,Local-gov,Some-college,Married-civ-spouse,Other-service,Male,Asian-Pac-Islander,56,<=50K
39,Local-gov,Some-college,Divorced,Exec-managerial,Female,White,53,<=50K
20,Private,11th,Married-civ-spouse,Craft-repair,Male,White,26,>50K
63,State-gov,11th,Married-civ-spouse,Tech-support,Male,White,58,>50K
47,Local-gov,11th,Married-civ-spouse,Sales,Female,Hispanic,47,<=50K
19,Local-gov,HS-grad,Never-married,Craft-repair,Female,Black,41,>50K
24,State-gov,HS-grad,Divorced,Other-service,Female,Hispanic,57,<=50K
26,Local-gov,HS-grad,Married-civ-spouse,Sales,Male,White,30,<=50K
44,Self-emp-not-inc,Some-college,Married-civ-spouse,Tech-support,Female,Asian-Pac-Islander,28,<=50K
34,Private,HS-grad,Divorced,Exec-managerial,Male,Hispanic,49,<=50K
60,Self-emp-not-inc,Some-college,Never-married,Other-service,Female,Black,26,<=50K
70,Private,Masters,Never-married,Tech-support,Male,White,43,>50K
49,State-gov,Some-college,Divorced,Sales,Female,Asian-Pac-Islander,24,>50K
57,State-gov,Masters,Divorced,Craft-repair,Female,Hispanic,39,<=50K
40,Private,11th,Divorced,Other-service,Female,Black,48,>50K
36,Self-emp-not-inc,Bachelors,Never-married,Sales,Female,Asian-Pac-Islander,20,<=50K
38,Local-gov,Some-college,Never-married,Tech-support,Male,Asian-Pac-Islander,41,<=50K
18,Self-emp-not-inc,11th,Married-civ-spouse,Craft-repair,Male,Black,60,>50K
22,Private,Bachelors,Divorced,Sales,Female,Asian-Pac-Islander,23,<=50K
33,Private,Masters,Never-married,Exec-managerial,Male,Black,28,<=50K
48,Local-gov,Masters,Divorced,Other-service,Male,Asian-Pac-Islander,34,>50K
61,Private,Some-college,Married-civ-spouse,Tech-support,Female,White,25,<=50K
26,Self-emp-not-inc,HS-grad,Divorced,Craft-repair,Male,Hispanic,42,>50K
64,Private,11th,Married-civ-spouse,Other-service,Male,White,26,>50K
28,Local-gov,11th,Divorced,Other-service,Male,Black,46,<=50K
47,Self-emp-not-inc,11th,Divorced,Tech-support,Male,White,21,<=50K
43,Private,HS-grad,Never-married,Sales,Female,Black,36,<=50K
53,Local-gov,HS-grad,Divorced,Tech-support,Male,Black,41,<=50K
52,Private,Some-college,Never-married,Other-service,Female,Asian-Pac-Islander,60,>50K
59,Local-gov,Some-college,Never-married,Sales,Male,Black,29,<=50K
70,Self-emp-not-inc,Masters,Divorced,Craft-repair,Male,Hispanic,25,<=50K
33,Local-gov,11th,Divorced,Sales,Male,Asian-Pac-Islander,47,<=50K
37,Private,Some-college,Divorced,Tech-support,Female,Hispanic,52,<=50K
27,Local-gov,HS-grad,Married-civ-spouse,Sales,Male,Hispanic,40,<=50K
67,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Female,Black,30,<=50K
49,Self-emp-not-inc,Some-college,Never-married,Other-service,Male,Asian-Pac-Islander,51,>50K
44,Self-emp-not-inc,HS-grad,Married-civ-spouse,Tech-support,Female,White,57,<=50K
61,State-gov,HS-grad,Divorced,Craft-repair,Male,White,21,>50K
32,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Female,White,54,<=50K
29,Local-gov,Some-college,Never-married,Exec-managerial,Female,Asian-Pac-Islander,58,<=50K
20,Local-gov,11th,Married-civ-spouse,Other-service,Female,Asian-Pac-Islander,40,<=50K
57,State-gov,Masters,Divorced,Craft-repair,Male,Black,25,>50K
47,State-gov,Some-college,Married-civ-spouse,Craft-repair,Female,Hispanic,48,<=50K
22,Private,Bachelors,Divorced,Exec-managerial,Male,Black,48,<=50K
53,State-gov,Some-college,Married-civ-spouse,Other-service,Male,Black,40,>50K
19,State-gov,11th,Never-married,Craft-repair,Male,White,21,>50K
45,Self-emp-not-inc,Bachelors,Never-married,Other-service,Male,Black,35,>50K
25,Self-emp-not-inc,11th,Married-civ-spouse,Craft-repair,Male,White,32,<=50K
40,State-gov,Some-college,Divorced,Craft-repair,Male,Hispanic,34,>50K
23,Self-emp-not-inc,Masters,Divorced,Tech-support,Male,Black,51,<=50K
60,Self-emp-not-inc,11th,Divorced,Craft-repair,Female,Hispanic,40,>50K
47,Self-emp-not-inc,Some-college,Never-married,Tech-support,Female,Asian-Pac-Islander,25,>50K
70,State-gov,Masters,Divorced,Tech-support,Male,Hispanic,29,>50K
33,Local-gov,11th,Divorced,Exec-managerial,Female,Hispanic,41,>50K
42,Self-emp-not-inc,11th,Married-civ-spouse,Craft-repair,Male,Hispanic,54,<=50K
24,Private,Bachelors,Divorced,Exec-managerial,Male,Hispanic,60,<=50K
34,Private,Some-college,Married-civ-spouse,Sales,Male,Hispanic,29,<=50K
35,State-gov,Masters,Divorced,Tech-support,Male,White,26,<=50K
31,Local-gov,Bachelors,Divorced,Craft-repair,Male,Hispanic,45,<=50K
70,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Female,Black,50,<=50K
32,Private,Bachelors,Divorced,Tech-support,Male,Hispanic,48,>50K
45,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Female,Black,36,>50K
66,State-gov,Some-college,Married-civ-spouse,Tech-support,Male,White,33,>50K
47,State-gov,Bachelors,Divorced,Tech-support,Female,Hispanic,50,<=50K
22,State-gov,Masters,Never-married,Exec-managerial,Female,White,41,<=50K
60,Self-emp-not-inc,Masters,Never-married,Craft-repair,Female,Asian-Pac-Islander,34,<=50K
41,Private,Masters,Never-married,Tech-support,Female,White,24,<=50K
21,State-gov,Bachelors,Divorced,Exec-managerial,Male,White,53,<=50K
56,Private,Bachelors,Married-civ-spouse,Sales,Male,Black,30,>50K
19,Private,Masters,Divorced,Other-service,Male,Hispanic,28,<=50K
56,Self-emp-not-inc,Some-college,Divorced,Sales,Female,White,40,<=50K
54,Self-emp-not-inc,Some-college,Never-married,Other-service,Female,Black,39,<=50K
68,Local-gov,Bachelors,Never-married,Tech-support,Female,Asian-Pac-Islander,52,<=50K
46,State-gov,Masters,Never-married,Tech-support,Female,Black,32,<=50K
36,Local-gov,11th,Divorced,Craft-repair,Female,Hispanic,51,>50K
47,Private,Bachelors,Married-civ-spouse,Other-service,Female,Black,33,<=50K
58,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,Asian-Pac-Islander,60,<=50K
24,Private,Masters,Married-civ-spouse,Other-service,Male,Black,53,<=50K
29,Self-emp-not-inc,11th,Divorced,Exec-managerial,Female,White,35,<=50K
29,Local-gov,Bachelors,Divorced,Sales,Male,White,48,<=50K
49,Local-gov,Masters,Divorced,Tech-support,Female,White,31,<=50K
30,Private,HS-grad,Married-civ-spouse,Sales,Male,Hispanic,22,>50K
47,Self-emp-not-inc,HS-grad,Divorced,Tech-support,Female,Black,56,<=50K
60,Private,11th,Married-civ-spouse,Craft-repair,Male,Black,33,<=50K
29,Private,Bachelors,Never-married,Exec-managerial,Male,White,36,<=50K
24,Local-gov,HS-grad,Divorced,Craft-repair,Male,White,23,<=50K
26,Local-gov,Masters,Married-civ-spouse,Other-service,Female,Hispanic,51,<=50K
53,State-gov,Masters,Married-civ-spouse,Exec-managerial,Female,White,32,<=50K
68,Self-emp-not-inc,11th,Never-married,Exec-managerial,Male,Asian-Pac-Islander,51,<=50K
25,State-gov,HS-grad,Divorced,Other-service,Male,White,36,<=50K
64,Private,Some-college,Married-civ-spouse,Other-service,Male,White,45,>50K
22,State-gov,Bachelors,Never-married,Craft-repair,Female,Hispanic,55,<=50K
61,Local-gov,Bachelors,Never-married,Sales,Male,Asian-Pac-Islander,32,<=50K
56,Private,HS-grad,Never-married,Other-service,Female,White,60,<=50K
42,Self-emp-not-inc,Bachelors,Divorced,Tech-support,Female,Asian-Pac-Islander,47,<=50K
54,Private,Bachelors,Never-married,Craft-repair,Female,White,41,>50K
32,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Male,White,59,>50K
28,State-gov,Masters,Divorced,Other-service,Female,Asian-Pac-Islander,42,<=50K
63,State-gov,11th,Married-civ-spouse,Other-service,Female,Black,47,<=50K
26,Private,Some-college,Married-civ-spouse,Craft-repair,Female,Black,35,>50K
26,Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Male,Hispanic,33,<=50K
34,Private,11th,Divorced,Sales,Male,Black,29,<=50K
55,State-gov,Some-college,Married-civ-spouse,Sales,Male,Hispanic,22,>50K
52,Self-emp-not-inc,Bachelors,Divorced,Tech-support,Male,Hispanic,43,<=50K
19,Local-gov,Some-college,Never-married,Craft-repair,Female,Asian-Pac-Islander,32,<=50K
49,Self-emp-not-inc,Some-college,Married-civ-spouse,Other-service,Female,White,24,<=50K
66,Local-gov,Masters,Married-civ-spouse,Tech-support,Male,White,43,<=50K
68,Local-gov,11th,Married-civ-spouse,Exec-managerial,Female,Asian-Pac-Islander,59,>50K
53,Private,HS-grad,Never-married,Sales,Female,Asian-Pac-Islander,24,<=50K
70,Self-emp-not-inc,11th,Divorced,Exec-managerial,Male,Asian-Pac-Islander,24,>50K
69,Local-gov,Bachelors,Never-married,Other-service,Male,White,58,>50K
28,Local-gov,11th,Never-married,Tech-support,Female,Hispanic,27,<=50K
18,Private,HS-grad,Divorced,Other-service,Female,White,22,<=50K
38,Private,HS-grad,Never-married,Tech-support,Female,Black,60,<=50K
64,Self-emp-not-inc,11th,Married-civ-spouse,Craft-repair,Female,Hispanic,23,<=50K
55,Private,HS-grad,Never-married,Other-service,Male,Black,53,<=50K
45,State-gov,HS-grad,Married-civ-spouse,Craft-repair,Female,Asian-Pac-Islander,33,>50K
28,Local-gov,Some-college,Divorced,Other-service,Male,Black,48,<=50K
35,Self-emp-not-inc,Masters,Married-civ-spouse,Craft-repair,Male,Hispanic,49,<=50K
51,Private,Bachelors,Married-civ-spouse,Other-service,Female,Hispanic,27,>50K
19,Private,HS-grad,Married-civ-spouse,Sales,Female,Hispanic,55,<=50K
35,Self-emp-not-inc,Bachelors,Divorced,Tech-support,Male,Hispanic,42,<=50K
68,Self-emp-not-inc,Masters,Divorced,Craft-repair,Female,Black,60,<=50K
64,State-gov,HS-grad,Married-civ-spouse,Craft-repair,Female,White,36,<=50K
61,Private,11th,Never-married,Craft-repair,Male,Black,45,>50K
53,Self-emp-not-inc,11th,Never-married,Exec-managerial,Male,Black,20,<=50K
65,Self-emp-not-inc,Some-college,Divorced,Exec-managerial,Male,Black,35,<=50K
67,Local-gov,Bachelors,Married-civ-spouse,Other-service,Female,Hispanic,60,<=50K
39,State-gov,Some-college,Never-married,Craft-repair,Female,Hispanic,49,<=50K
41,Local-gov,11th,Married-civ-spouse,Tech-support,Male,Black,25,<=50K
