age,education,years_experience,gender,race,department,interviewed,hired
50,Bachelors,1,Female,Black,Sales,no,no
28,Masters,12,Male,Asian,Engineering,yes,no
39,Bachelors,11,Female,White,Marketing,yes,no
41,Bachelors,8,Male,White,HR,no,no
49,Masters,8,Female,Black,Marketing,yes,no
23,Bachelors,9,Female,Hispanic,Sales,yes,yes
32,PhD,9,Male,Hispanic,HR,yes,no
47,Bachelors,4,Female,Asian,Finance,yes,yes
46,Masters,2,Male,White,Engineering,yes,yes
31,Masters,10,Male,Hispanic,Marketing,yes,yes
35,Bachelors,8,Female,White,Engineering,yes,yes
43,Bachelors,7,Female,White,Finance,yes,no
42,PhD,6,Male,White,Finance,yes,no
48,Bachelors,5,Male,Black,Engineering,yes,yes
30,PhD,9,Male,Black,Sales,no,no
24,Bachelors,3,Male,Black,Sales,yes,no
48,Bachelors,5,Female,White,Marketing,no,no
31,Bachelors,1,Male,Asian,Sales,no,no
29,Masters,9,Male,Hispanic,Finance,yes,no
30,Bachelors,10,Female,Hispanic,Engineering,yes,no
39,Bachelors,2,Male,Black,HR,yes,no
52,PhD,10,Male,Asian,Engineering,yes,no
25,PhD,7,Male,White,HR,no,no
48,Bachelors,2,Female,White,Engineering,yes,no
24,Bachelors,11,Male,Black,Engineering,yes,no
27,Bachelors,2,Female,Asian,Finance,yes,no
34,PhD,4,Female,Hispanic,Finance,yes,no
31,Bachelors,4,Male,Asian,HR,yes,no
45,Bachelors,6,Female,Asian,Finance,yes,yes
50,PhD,11,Female,White,Marketing,yes,yes
47,PhD,10,Female,Asian,HR,no,no
26,Bachelors,9,Female,Hispanic,Engineering,yes,no
47,Bachelors,1,Male,White,Marketing,no,no
42,Bachelors,5,Male,Hispanic,Engineering,no,no
35,Bachelors,10,Female,White,Engineering,yes,no
31,Bachelors,7,Male,White,HR,no,no
31,Bachelors,4,Male,Asian,HR,yes,no
27,PhD,10,Male,Hispanic,Finance,no,no
48,PhD,6,Male,White,Marketing,yes,no
39,PhD,7,Male,White,Sales,yes,no
47,Bachelors,7,Male,White,Marketing,yes,yes
45,Masters,9,Male,Black,Finance,yes,no
50,Bachelors,12,Female,White,Sales,yes,no
35,Bachelors,9,Female,Asian,Engineering,yes,no
37,Bachelors,10,Male,White,Sales,no,no
31,PhD,7,Female,White,HR,yes,no
50,Bachelors,1,Male,White,HR,yes,yes
26,PhD,5,Female,Black,Sales,yes,yes
49,PhD,3,Male,Black,Sales,yes,no
51,Bachelors,11,Male,Black,Engineering,yes,yes
39,PhD,10,Female,White,Marketing,yes,no
48,Masters,12,Female,White,Marketing,yes,no
42,PhD,8,Female,Asian,HR,no,no
45,PhD,3,Male,Hispanic,Marketing,yes,no
50,Masters,6,Male,Hispanic,Marketing,yes,no
32,Bachelors,1,Male,Black,Marketing,no,no
52,Masters,3,Male,Black,HR,yes,no
38,Bachelors,8,Male,Hispanic,Finance,yes,no
35,Bachelors,9,Male,Black,HR,yes,yes
34,Bachelors,7,Female,White,HR,yes,no
38,Bachelors,6,Female,White,HR,yes,no
35,Bachelors,5,Female,Hispanic,HR,yes,yes
40,Masters,1,Male,White,HR,yes,no
31,Bachelors,9,Male,Hispanic,Engineering,yes,yes
29,Bachelors,7,Male,Asian,HR,no,no
50,Bachelors,8,Female,Asian,Sales,no,no
42,PhD,3,Male,White,HR,yes,yes
35,Bachelors,8,Male,Hispanic,Sales,yes,yes
33,Masters,2,Female,White,Marketing,yes,no
36,Masters,4,Male,White,Finance,yes,yes
33,PhD,9,Female,White,HR,yes,no
32,Masters,10,Male,Black,Marketing,yes,no
52,Bachelors,7,Male,Asian,Marketing,no,no
41,Masters,12,Female,White,HR,yes,no
37,PhD,1,Female,Hispanic,Finance,yes,no
37,Bachelors,11,Male,White,Engineering,yes,no
23,Masters,8,Male,White,Sales,yes,yes
25,PhD,5,Female,White,Finance,yes,no
41,Masters,11,Male,White,Engineering,yes,yes
29,Masters,6,Male,White,Sales,no,no
33,Masters,2,Female,Asian,Sales,yes,no
25,Bachelors,10,Male,White,Engineering,yes,yes
24,Bachelors,9,Female,Asian,Marketing,yes,no
39,Bachelors,3,Male,Hispanic,Finance,yes,no
36,Bachelors,1,Male,Black,Marketing,yes,yes
45,Masters,8,Male,Hispanic,Engineering,no,no
36,Bachelors,9,Female,Hispanic,Marketing,no,no
50,PhD,11,Female,White,Finance,yes,no
46,PhD,3,Female,Asian,Finance,yes,yes
40,Bachelors,6,Male,Asian,Finance,yes,no
26,Bachelors,1,Female,Hispanic,HR,yes,no
44,Bachelors,7,Male,White,HR,no,no
39,PhD,4,Female,Hispanic,Engineering,yes,no
37,Bachelors,12,Male,Black,Sales,no,no
23,Bachelors,2,Male,Hispanic,HR,no,no
24,Bachelors,9,Female,White,Finance,yes,no
34,Masters,9,Male,White,HR,yes,yes
41,Bachelors,5,Male,White,Engineering,yes,yes
49,Bachelors,3,Male,White,HR,yes,yes
38,Bachelors,6,Female,Asian,Finance,no,no
52,PhD,8,Female,White,HR,no,no
23,Bachelors,3,Female,Asian,Marketing,yes,yes
51,PhD,12,Male,White,Engineering,yes,yes
35,Masters,6,Male,Black,HR,yes,no
42,Bachelors,1,Female,Asian,Sales,yes,no
29,Bachelors,1,Male,Black,Engineering,yes,yes
42,Bachelors,4,Female,White,Sales,yes,no
49,Bachelors,4,Female,Asian,Engineering,yes,no
36,Bachelors,2,Female,Asian,Sales,yes,no
38,Bachelors,7,Male,Asian,Engineering,no,no
41,Bachelors,6,Female,Asian,Sales,no,no
42,Bachelors,1,Female,Asian,Engineering,yes,yes
52,Bachelors,3,Female,White,Marketing,no,no
28,Masters,3,Female,Hispanic,Sales,yes,no
32,Bachelors,9,Female,Hispanic,Finance,yes,yes
25,Bachelors,12,Female,Hispanic,Sales,no,no
51,Bachelors,11,Male,White,Sales,yes,yes
42,PhD,8,Female,White,Engineering,no,no
37,Bachelors,5,Male,White,Finance,yes,yes
44,Bachelors,11,Female,White,Sales,no,no
24,Bachelors,3,Female,White,Sales,yes,yes
27,Bachelors,4,Male,White,HR,yes,no
37,Masters,11,Female,Black,Sales,yes,yes
41,Bachelors,1,Female,Hispanic,Marketing,yes,no
52,Masters,7,Female,Black,Finance,yes,no
44,Bachelors,8,Female,White,Engineering,yes,no
36,Bachelors,8,Male,White,HR,no,no
33,Bachelors,12,Male,Hispanic,Sales,yes,yes
44,Bachelors,12,Female,Asian,Finance,no,no
45,Bachelors,4,Female,Asian,Sales,no,no
32,Bachelors,8,Male,White,Finance,yes,yes
28,Bachelors,1,Female,Asian,HR,no,no
46,Bachelors,1,Male,Black,Marketing,yes,yes
29,PhD,8,Male,White,Finance,yes,no
