age,income,assets,credit_history,employment_years,gender,residence_type,risk_score,default
57,453755,20161,good,14,Male,own,522,0
48,164367,454318,fair,16,Female,mortgage,375,0
35,273768,103164,good,3,Male,own,218,0
36,465687,705371,good,24,Male,own,740,0
26,433673,10025,excellent,22,Female,own,28,0
36,472969,64646,good,3,Female,mortgage,75,0
33,405707,80478,good,14,Female,mortgage,193,0
52,457836,193404,fair,10,Male,mortgage,628,0
42,134350,370433,good,4,Female,rent,524,0
66,483270,569363,good,19,Male,mortgage,26,0
44,362634,937414,poor,11,Female,own,692,1
60,174231,740330,excellent,10,Female,rent,61,0
47,375554,930706,poor,2,Female,rent,982,0
26,282600,730601,good,0,Male,own,460,1
63,58502,930683,good,21,Male,rent,875,0
42,393112,722565,good,18,Male,mortgage,752,0
33,170208,737313,fair,10,Male,own,639,1
54,337037,368014,good,12,Female,own,247,0
51,287863,168399,fair,11,Male,own,107,0
54,236590,31852,good,6,Female,mortgage,339,0
31,328192,206307,fair,8,Female,own,780,0
66,474634,161614,poor,22,Female,own,339,0
31,337957,560909,good,10,Female,mortgage,761,0
50,311595,444566,good,8,Female,own,285,0
36,398218,653724,good,7,Male,own,673,0
47,279771,709451,good,18,Male,mortgage,85,0
54,349512,73808,good,19,Male,own,428,0
44,408257,833843,poor,2,Male,own,972,0
36,514481,242052,poor,17,Male,own,966,0
63,265495,50157,good,16,Male,own,254,1
27,287203,879350,fair,15,Male,own,870,0
36,182002,381812,good,6,Female,own,519,1
42,311825,386987,good,21,Male,rent,149,0
55,222633,168348,poor,24,Male,own,661,1
31,487570,415018,good,12,Female,rent,483,0
23,116265,524162,good,4,Female,own,53,1
29,276878,864542,good,20,Male,own,20,0
44,225937,485790,good,2,Female,mortgage,212,0
48,323370,248845,poor,15,Female,mortgage,461,0
21,235889,295320,fair,3,Male,rent,358,0
38,127717,412651,good,15,Female,mortgage,851,0
27,419488,58221,good,3,Female,own,876,0
24,258914,250864,poor,15,Female,rent,419,1
39,58853,975168,good,20,Female,rent,167,0
38,442517,436812,fair,3,Female,own,255,0
24,56086,642159,excellent,20,Male,mortgage,734,0
69,86044,541259,fair,7,Female,mortgage,283,1
64,58138,908592,good,2,Male,own,6,1
29,192519,205102,excellent,24,Male,mortgage,573,1
69,58090,340756,fair,9,Female,own,942,0
29,453501,799954,poor,4,Female,mortgage,534,1
63,124901,442245,good,1,Male,own,605,0
52,508530,192364,excellent,8,Male,own,124,1
21,210264,856903,good,17,Female,own,199,0
50,254169,868880,excellent,23,Male,own,856,1
35,101214,457152,good,7,Female,mortgage,86,0
51,230900,581702,poor,0,Male,mortgage,394,0
28,485792,321320,good,3,Male,mortgage,461,0
25,440361,814702,good,10,Female,mortgage,570,0
35,221882,926290,fair,9,Female,rent,657,1
41,310880,217617,fair,4,Female,rent,919,0
44,227392,323455,good,3,Male,own,602,0
69,145377,761122,good,6,Male,mortgage,527,0
47,91639,914166,good,16,Male,rent,34,0
53,529240,360883,good,14,Male,own,667,0
53,236207,147024,excellent,11,Female,mortgage,823,0
50,507311,741380,poor,15,Female,mortgage,418,1
53,226844,853883,good,4,Male,own,73,0
26,498130,671667,poor,23,Male,own,770,0
68,512100,550681,good,21,Female,rent,978,0
56,477120,749408,good,11,Male,own,261,0
46,358572,132471,fair,3,Female,own,118,0
65,413219,426563,excellent,16,Male,own,996,0
51,222856,456944,excellent,0,Male,own,816,0
68,259286,214942,poor,24,Male,own,760,0
67,49123,484157,excellent,3,Female,rent,687,0
55,275284,97279,fair,20,Male,mortgage,865,0
30,309040,944036,excellent,8,Female,own,179,0
62,155435,568917,poor,3,Female,mortgage,124,0
62,430249,215719,good,1,Female,own,552,0
65,95534,256928,good,1,Male,rent,95,1
33,335575,850891,good,13,Male,own,460,1
65,141674,831506,good,19,Male,mortgage,642,0
59,242634,702569,poor,13,Male,own,145,0
28,221472,855011,good,5,Female,rent,422,0
32,495067,191952,poor,10,Female,own,924,1
26,244518,263405,good,18,Female,rent,52,1
60,162244,260435,poor,20,Female,rent,344,0
68,442589,189003,fair,9,Female,own,842,0
49,106274,344112,excellent,9,Male,rent,729,0
51,345269,867285,poor,10,Male,own,889,0
48,288057,10879,poor,0,Female,rent,873,1
40,520070,709409,poor,7,Male,own,342,0
35,77567,174429,excellent,14,Male,mortgage,716,0
47,287739,694691,poor,5,Female,own,891,0
49,321019,80579,good,23,Female,mortgage,954,0
53,31499,173096,good,24,Female,own,237,1
23,315755,684760,excellent,9,Male,rent,850,1
54,398586,268729,good,4,Female,own,916,0
39,458297,687569,good,12,Male,own,234,0
60,355345,75593,fair,4,Female,rent,720,0
33,528372,470866,fair,16,Female,rent,989,1
47,499508,393064,good,16,Female,own,495,0
23,418231,108627,poor,19,Female,own,341,0
34,38381,227667,excellent,17,Male,own,907,0
53,477580,798500,good,24,Female,mortgage,570,0
42,296640,996286,good,21,Male,rent,791,0
29,160291,537022,fair,0,Female,mortgage,865,0
23,175292,905609,excellent,3,Female,rent,486,0
29,490375,791667,good,11,Male,mortgage,480,0
49,471018,125776,excellent,7,Male,own,444,1
45,166161,414711,excellent,17,Female,own,115,0
62,335967,132176,poor,24,Female,mortgage,225,0
27,478967,796971,good,2,Male,mortgage,786,0
41,129173,987965,fair,11,Male,mortgage,208,0
41,364114,694588,fair,8,Male,mortgage,344,0
65,520347,155719,poor,6,Male,own,859,0
25,374249,763026,good,12,Male,own,74,0
57,433256,331410,good,0,Female,own,329,0
63,432577,94903,good,5,Male,own,738,0
62,516730,134938,excellent,3,Male,own,9,0
27,269776,382180,excellent,7,Male,own,251,0
40,324738,267464,poor,11,Female,rent,112,0
27,88863,634314,good,7,Female,rent,40,0
36,406915,136063,fair,1,Female,own,49,0
35,350085,191882,poor,6,Male,mortgage,325,0
27,402132,324085,fair,18,Female,own,487,1
25,53841,465932,excellent,2,Male,own,504,0
68,525528,49199,fair,5,Female,own,272,0
25,407742,84467,fair,2,Male,mortgage,175,0
38,440507,1008400,fair,2,Female,mortgage,641,1
60,314692,590297,good,24,Male,own,26,0
42,362030,331658,poor,7,Female,mortgage,170,0
24,205709,975571,excellent,5,Male,rent,125,1
62,116283,364695,good,10,Male,rent,966,1
50,228131,984116,excellent,13,Female,mortgage,363,0
35,51752,401799,fair,19,Female,own,605,1
55,305386,646439,fair,10,Male,own,208,0
60,185933,263310,good,2,Female,mortgage,241,0
42,182003,440937,good,15,Male,own,823,0
68,204585,567572,good,5,Female,own,5,1
43,42134,834782,excellent,19,Male,rent,572,0
49,437167,924703,good,0,Male,mortgage,841,0
25,91612,956984,good,12,Female,rent,288,0
31,410821,27420,fair,4,Female,own,109,0
54,217319,94501,poor,5,Female,own,246,1
46,459027,674191,fair,17,Female,own,180,0
31,65910,836224,fair,9,Female,own,316,0
65,272522,876026,poor,19,Male,mortgage,535,0
47,97470,882145,poor,20,Male,own,251,0
59,142299,707958,poor,21,Male,mortgage,8,0
25,448877,528004,poor,1,Female,rent,13,0
22,519927,227383,fair,23,Male,rent,887,1
58,498089,243702,good,2,Male,own,593,0
47,48557,583339,good,10,Male,mortgage,385,0
31,31285,310403,poor,22,Male,own,698,0
36,92992,290135,fair,19,Female,mortgage,756,0
58,524105,602188,excellent,12,Male,rent,227,0
39,443993,675629,poor,3,Female,rent,506,0
35,124829,966443,poor,16,Male,own,575,0
53,506355,798326,excellent,17,Female,mortgage,659,0
50,103029,614839,good,15,Male,mortgage,890,0
44,181571,845299,excellent,1,Male,own,66,0
38,165570,91216,good,15,Male,mortgage,809,0
28,370473,684249,good,14,Female,mortgage,385,0
48,365221,533100,good,11,Male,mortgage,628,0
46,430141,211112,fair,12,Female,mortgage,62,0
69,284953,56069,excellent,7,Male,own,560,0
54,88037,172623,fair,7,Male,rent,889,0
55,276939,776425,good,14,Male,own,299,1
21,479944,766137,good,6,Male,own,35,0
32,217151,690619,good,7,Female,own,566,1
42,405864,83184,fair,0,Female,mortgage,674,1
38,185645,63613,good,6,Male,own,986,0
61,266688,719364,poor,7,Female,own,155,1
63,79216,745530,good,12,Female,rent,125,0
43,79944,945051,fair,20,Female,mortgage,599,0
68,120462,364495,good,10,Male,own,61,0
45,263624,568182,good,15,Male,rent,148,0
34,230768,21907,good,24,Male,mortgage,886,0
34,464647,903946,fair,12,Male,rent,45,0
50,323779,413213,good,2,Male,mortgage,104,0
28,227288,146283,excellent,1,Female,mortgage,592,0
50,400932,932089,fair,5,Female,own,749,0
36,185174,791043,good,14,Male,own,258,0
31,437687,175835,fair,12,Male,rent,593,0
52,323496,737887,good,2,Female,mortgage,825,1
34,193061,1005836,good,4,Female,own,295,0
34,36278,194539,good,2,Female,mortgage,241,0
42,515884,130519,good,1,Female,own,175,1
24,441290,923528,excellent,23,Male,mortgage,592,0
69,253138,920963,excellent,9,Male,own,334,0
23,427083,686413,excellent,3,Female,rent,502,0
24,506174,698046,good,10,Female,own,724,0
26,223344,942406,fair,9,Female,own,862,0
48,302399,301799,excellent,13,Male,own,323,0
54,299698,425296,good,6,Male,mortgage,390,0
20,283376,78470,good,23,Male,rent,384,0
29,70921,687428,good,5,Female,own,940,1
56,163560,148065,good,20,Male,own,862,0
40,244885,191455,poor,23,Male,own,468,1
34,474782,61771,poor,5,Female,rent,539,0
31,116498,595122,good,2,Male,mortgage,288,0
45,426306,829938,excellent,4,Female,own,544,0
48,291050,705760,fair,12,Female,mortgage,129,0
64,295297,308203,poor,23,Male,mortgage,284,1
55,455937,265094,excellent,8,Female,own,296,0
68,284689,566347,good,22,Female,mortgage,739,0
59,243371,826617,good,2,Female,mortgage,637,0
69,447881,362827,good,3,Male,own,470,0
44,429240,636537,poor,6,Male,own,726,1
61,464416,945426,fair,18,Female,own,848,1
51,483101,512503,fair,7,Female,rent,500,0
32,44587,272772,fair,1,Female,rent,222,0
35,121546,628735,poor,4,Female,rent,956,1
20,87567,964586,excellent,12,Female,rent,841,1
49,406635,976153,good,1,Male,mortgage,386,0
48,398204,282675,good,9,Male,rent,519,0
52,262197,835023,excellent,3,Male,own,545,0
56,165753,342021,good,21,Female,rent,230,0
56,456521,828985,good,4,Male,own,777,0
54,249162,504980,fair,19,Male,own,332,0
31,41063,739031,excellent,16,Female,mortgage,33,1
40,455116,446550,fair,22,Male,rent,301,0
46,340364,982802,fair,20,Female,own,974,0
31,479177,276156,fair,2,Female,own,893,0
63,148725,869989,good,0,Female,mortgage,371,1
27,319678,481905,excellent,20,Male,own,401,0
25,164328,709504,fair,11,Male,rent,249,0
25,84546,504747,poor,21,Male,rent,754,0
45,293279,819573,excellent,11,Male,own,739,0
20,43446,559076,excellent,22,Male,own,253,0
44,252333,864381,poor,20,Male,own,222,0
62,360743,182819,excellent,1,Female,mortgage,414,1
31,404740,727965,fair,0,Female,mortgage,222,0
69,266684,533618,fair,5,Male,own,851,0
41,320186,996256,excellent,20,Male,own,343,0
24,466277,438870,good,14,Male,rent,242,0
35,263694,621546,good,0,Male,rent,554,1
32,401640,793633,good,7,Male,mortgage,427,1
54,493041,377553,fair,24,Female,mortgage,559,0
24,324410,1007275,poor,22,Male,own,511,0
27,449330,645691,poor,12,Female,mortgage,834,0
23,480091,465350,excellent,16,Male,own,331,0
62,334131,960381,poor,4,Male,own,304,0
32,523730,981412,good,10,Female,own,968,0
63,524797,259696,good,18,Female,own,777,0
57,405837,335845,good,6,Female,own,667,0
34,86287,354468,good,11,Female,own,461,1
69,111297,753249,poor,2,Male,own,918,0
59,387026,544614,fair,5,Female,own,143,0
51,489046,656888,good,8,Female,own,395,0
45,61477,302798,good,7,Female,mortgage,374,1
67,286784,434741,excellent,16,Female,mortgage,116,0
22,38495,110269,poor,16,Female,own,764,0
54,212886,560442,good,10,Female,mortgage,397,0
59,52479,416904,good,21,Male,own,622,0
67,409806,573205,poor,6,Female,rent,936,0
50,79836,619377,excellent,21,Male,rent,934,0
37,89145,731963,good,14,Female,own,873,0
64,64196,594149,excellent,3,Male,mortgage,304,0
37,422206,887997,excellent,20,Male,mortgage,238,1
40,63319,631836,good,16,Male,mortgage,663,0
69,112800,895808,good,16,Male,own,248,0
46,386326,322604,good,7,Female,rent,247,0
47,278731,312268,good,13,Male,rent,294,0
29,519706,279451,poor,21,Female,rent,828,0
62,441776,758191,excellent,3,Male,own,219,0
20,214464,280939,fair,10,Female,mortgage,979,0
52,356486,223782,good,17,Male,own,470,0
23,254962,192316,fair,22,Male,mortgage,297,0
34,302281,119936,fair,7,Male,own,804,0
45,109098,828822,good,24,Male,mortgage,754,0
40,158439,470744,fair,4,Female,mortgage,1,1
51,344177,251266,good,19,Male,own,681,0
40,111795,774397,fair,5,Male,rent,359,0
33,135555,140693,excellent,22,Male,own,149,1
46,194395,915056,fair,14,Male,own,752,0
68,267260,847250,good,6,Female,rent,927,0
68,382156,893645,excellent,18,Male,own,956,0
61,249187,369261,poor,23,Male,own,792,1
28,57489,991288,excellent,5,Female,rent,922,0
30,257174,147144,good,6,Male,mortgage,342,0
64,310534,621679,excellent,16,Female,own,369,0
58,268699,103313,excellent,18,Male,own,788,0
27,39835,205488,excellent,16,Female,mortgage,297,1
60,428442,264910,fair,5,Male,mortgage,648,0
65,403171,676278,excellent,16,Female,mortgage,3,0
24,357067,287563,poor,13,Male,own,812,0
66,512609,345260,good,12,Male,mortgage,473,0
48,229721,39614,good,5,Male,own,67,0
49,330658,32196,fair,14,Male,rent,682,0
27,365573,985331,fair,16,Female,rent,956,0
27,377251,111547,good,4,Male,own,556,1
69,233321,762924,excellent,9,Female,rent,988,1
21,469358,172260,excellent,6,Female,own,521,0
64,296909,643667,good,1,Male,own,556,0
49,144144,925443,fair,6,Male,mortgage,683,0
69,57797,963740,excellent,19,Male,mortgage,358,1
69,236958,624424,poor,7,Female,mortgage,203,0
51,112637,389715,poor,12,Female,rent,369,0
54,170941,314851,good,23,Male,own,963,0
52,439658,779469,good,1,Male,own,361,0
28,46967,609980,poor,24,Female,own,45,0
65,121536,1007866,poor,8,Female,own,836,0
59,366091,966100,good,20,Male,mortgage,106,0
56,214142,884777,fair,22,Male,rent,82,0
54,290077,331461,fair,11,Female,own,598,1
36,172504,592336,poor,12,Male,rent,850,0
28,318733,429354,fair,17,Male,own,707,0
69,408476,100294,fair,16,Female,own,327,0
62,507468,218218,good,17,Female,own,439,0
62,481536,997158,fair,7,Male,own,434,1
41,126242,497454,excellent,16,Female,own,592,0
31,376508,635107,fair,24,Female,own,288,1
56,482397,945812,poor,1,Female,mortgage,162,0
63,204426,284019,fair,11,Male,mortgage,307,0
66,377589,72082,excellent,11,Female,mortgage,550,0
27,154356,716368,good,12,Female,own,140,1
58,128516,736873,poor,6,Female,rent,847,0
37,152153,11697,good,22,Male,own,805,0
42,317814,627758,good,9,Female,mortgage,996,0
48,503001,563638,poor,6,Female,rent,648,1
66,390334,767850,fair,2,Male,own,249,0
65,243519,370462,good,1,Male,own,906,0
36,396428,12578,good,2,Male,own,736,0
64,490141,630174,good,24,Female,mortgage,251,0
52,166225,779490,excellent,23,Male,rent,656,0
57,452040,946360,poor,2,Male,mortgage,869,0
62,364167,226329,good,10,Male,own,373,0
52,137423,419193,good,23,Male,rent,264,0
20,479107,986408,fair,6,Male,own,496,1
48,380588,1006371,poor,7,Female,own,222,0
51,176048,152535,excellent,4,Male,own,45,0
55,199737,644273,good,24,Female,rent,111,0
69,446068,65050,poor,12,Male,mortgage,489,0
39,517350,921858,poor,22,Male,own,638,0
23,129154,89320,fair,7,Male,own,377,0
67,380432,626267,excellent,7,Male,own,684,1
30,390709,183678,poor,4,Female,own,442,0
46,248463,66395,good,5,Female,rent,872,0
56,190096,300131,poor,0,Female,mortgage,32,0
23,328170,1002188,excellent,11,Female,own,708,0
30,367981,61090,good,18,Female,rent,34,0
44,300609,454128,fair,10,Female,rent,102,0
25,56286,587886,good,15,Male,own,668,0
26,60837,329758,fair,13,Male,rent,379,1
34,232417,963788,good,13,Female,own,44,1
66,117790,771044,good,6,Male,mortgage,214,1
35,231459,120069,excellent,3,Female,rent,130,0
54,182943,152552,good,19,Male,mortgage,610,0
69,350585,115673,excellent,18,Male,own,306,0
30,317355,89396,good,20,Female,rent,917,0
27,490309,978796,poor,0,Female,own,538,0
65,218110,918094,good,19,Male,own,819,0
58,289867,87623,excellent,6,Male,own,568,0
48,240060,854132,good,12,Female,own,317,0
33,295527,370934,excellent,9,Male,own,690,1
35,326485,403501,good,16,Female,own,124,0
56,450793,668405,fair,18,Female,own,730,0
54,508869,33261,fair,18,Male,own,457,0
48,312546,375244,fair,14,Male,mortgage,102,1
26,191620,252583,fair,10,Male,mortgage,525,0
25,93135,42932,excellent,7,Male,own,945,0
22,81662,581259,fair,17,Male,own,997,0
50,160058,697984,good,5,Female,own,45,0
49,322140,841235,poor,13,Male,own,218,0
46,438190,202925,good,23,Female,mortgage,185,0
22,238431,494156,good,12,Male,mortgage,216,0
52,463815,600743,good,10,Male,rent,710,0
43,166004,169046,good,7,Female,own,254,0
26,311875,980575,poor,23,Male,own,100,1
34,463642,492403,excellent,2,Female,rent,160,0
66,185672,932733,excellent,13,Female,rent,90,0
37,488047,43812,good,17,Female,rent,251,0
64,31289,52228,good,13,Female,rent,910,1
55,224967,503138,excellent,7,Male,rent,166,0
50,403360,638912,good,19,Female,rent,762,0
49,412262,331298,poor,10,Male,own,445,0
44,362880,828900,good,14,Male,mortgage,929,0
37,211294,896065,fair,22,Female,own,409,0
64,152880,975948,poor,16,Female,own,480,0
37,140388,964191,excellent,19,Male,rent,61,0
32,239703,168448,excellent,6,Male,own,142,1
59,36653,915073,poor,10,Male,mortgage,469,0
35,68978,206415,fair,1,Male,rent,199,0
51,359538,425616,excellent,21,Male,own,929,0
48,476065,156896,excellent,1,Female,rent,116,0
39,418384,284354,excellent,4,Male,own,162,0
68,238431,957317,fair,13,Male,own,816,0
26,458635,193574,excellent,14,Female,own,816,0
32,381490,46432,excellent,5,Female,mortgage,759,0
20,353725,141525,excellent,14,Male,rent,978,0
38,92764,33759,poor,21,Female,own,606,1
28,389457,890815,excellent,6,Male,own,757,1
