age,annual_income,credit_score,employment_type,gender,loan_amount,loan_term_months,approved
34,69869,456,Self-employed,Male,1130857,48,1
49,240003,548,Salaried,Male,969041,60,1
48,236629,673,Government,Female,536420,120,0
46,111574,439,Government,Male,1329866,12,1
47,92401,495,Salaried,Male,335047,360,0
52,116770,837,Contractor,Female,1321425,360,1
65,227582,770,Contractor,Male,1338781,36,1
22,176982,434,Salaried,Male,672037,24,1
29,157719,454,Salaried,Male,720832,24,1
22,216426,691,Self-employed,Female,872348,12,1
59,114040,441,Salaried,Male,1519447,60,1
43,281708,690,Government,Male,654195,36,1
34,49972,797,Contractor,Female,1190288,24,0
35,294080,648,Self-employed,Male,371724,36,1
43,219528,433,Contractor,Female,1353357,60,0
55,57161,713,Government,Male,1505360,60,1
38,246738,847,Salaried,Female,1417107,24,1
57,156752,445,Government,Female,110067,24,1
63,205575,612,Contractor,Male,1533669,120,1
29,47754,653,Contractor,Male,215933,48,0
48,213563,622,Government,Female,1031468,24,1
51,172539,764,Government,Male,1444426,120,1
21,49843,547,Contractor,Female,619563,120,0
40,96579,656,Contractor,Female,1262075,12,0
52,180102,575,Self-employed,Male,1068914,12,0
56,79176,592,Salaried,Female,1459448,48,0
60,270917,735,Salaried,Male,345989,36,0
38,252459,407,Self-employed,Male,1123860,120,0
65,138242,774,Salaried,Female,892480,60,1
58,173324,593,Government,Male,1292813,48,0
40,105400,627,Salaried,Female,1262256,36,0
63,292758,410,Government,Female,1038644,360,1
40,286133,548,Self-employed,Female,1396494,36,0
45,93075,560,Government,Female,1192684,24,0
62,280065,736,Government,Male,237631,120,1
26,171142,693,Self-employed,Male,398803,180,1
52,204584,779,Government,Male,1084160,180,0
21,246691,519,Self-employed,Male,136203,48,1
50,276188,818,Salaried,Female,149839,48,0
49,276570,469,Salaried,Female,456883,360,0
34,76407,846,Salaried,Female,951974,180,0
46,160572,818,Self-employed,Male,731568,360,1
59,290169,411,Self-employed,Female,140377,12,0
46,282252,822,Salaried,Female,159119,48,1
46,171637,612,Government,Female,258681,360,0
40,220888,842,Government,Male,1476647,12,1
37,198141,441,Self-employed,Male,907699,180,1
45,181273,808,Self-employed,Male,372446,48,1
59,233841,549,Contractor,Female,113697,60,0
56,272359,774,Government,Male,674411,60,1
52,148286,716,Self-employed,Male,582069,24,1
42,252414,747,Salaried,Female,381744,12,0
55,49005,494,Salaried,Male,441986,12,1
48,89405,794,Government,Male,1042723,12,0
26,95573,571,Contractor,Male,920921,12,1
35,214623,627,Salaried,Female,636368,36,1
45,279082,727,Government,Female,1210216,180,0
44,200525,546,Government,Female,1278712,120,0
21,88978,683,Salaried,Male,274374,36,1
48,175587,414,Salaried,Female,569840,48,1
54,122368,474,Self-employed,Male,287017,24,1
24,271022,468,Salaried,Male,1090834,60,0
36,238792,835,Self-employed,Female,464362,360,0
56,258752,700,Salaried,Male,400859,24,0
28,124550,546,Self-employed,Female,1233807,120,0
57,181250,708,Salaried,Male,965899,120,1
21,47770,697,Self-employed,Male,1591123,360,0
40,174300,428,Self-employed,Female,144911,360,1
41,90215,685,Government,Female,801381,120,0
37,183021,425,Salaried,Male,930084,360,1
32,139868,809,Salaried,Male,1438723,12,1
33,231236,701,Self-employed,Male,543106,24,1
21,185242,473,Salaried,Female,496682,24,1
57,106353,801,Government,Female,692575,60,0
63,160314,524,Government,Male,458354,60,1
50,208297,601,Salaried,Female,1572670,60,0
39,49124,544,Contractor,Female,1386026,180,0
49,73110,527,Government,Male,745750,180,0
43,104365,815,Government,Male,719435,120,1
32,266877,532,Government,Female,225253,12,1
59,211264,653,Contractor,Male,1574877,12,1
29,260064,793,Government,Male,1001585,360,1
62,153440,490,Self-employed,Female,1200691,12,0
25,93137,790,Salaried,Male,1505255,60,1
61,86570,575,Contractor,Male,1115813,360,1
52,134785,556,Government,Female,611433,36,0
28,229769,636,Salaried,Male,1427397,120,1
26,146945,421,Contractor,Female,1377969,24,1
28,68692,436,Salaried,Female,1564299,48,0
30,245610,599,Salaried,Male,995392,24,0
33,120579,445,Government,Male,394542,48,1
22,255091,460,Salaried,Female,609237,120,0
54,103704,502,Contractor,Female,229457,60,0
25,86730,743,Salaried,Male,138706,60,1
21,167833,610,Contractor,Female,634251,360,1
32,86085,426,Self-employed,Male,294075,120,0
21,162305,473,Salaried,Male,569196,36,0
44,284888,569,Self-employed,Male,1205392,360,1
32,76160,422,Contractor,Female,1524309,24,0
59,141252,439,Contractor,Female,1491238,180,0
31,152766,767,Salaried,Male,1103191,120,1
38,160340,729,Salaried,Male,1311527,48,1
24,99698,522,Government,Female,1535269,180,0
36,184937,573,Salaried,Female,992796,120,0
35,86885,794,Self-employed,Female,232677,48,1
32,119101,818,Contractor,Male,154800,48,1
33,183695,557,Government,Female,664481,12,0
29,62055,754,Salaried,Male,413123,36,1
46,93028,474,Government,Male,581008,36,1
36,183817,652,Government,Male,681050,24,1
34,75262,580,Salaried,Male,1043151,12,0
34,132951,721,Salaried,Male,1095465,60,0
30,63661,640,Salaried,Female,996784,36,0
43,180948,717,Salaried,Female,1503574,120,0
46,179992,681,Government,Female,823475,60,1
65,182131,420,Contractor,Male,807369,180,0
50,228071,650,Salaried,Female,1589927,48,1
29,166566,474,Salaried,Male,358225,48,1
30,208693,776,Government,Female,1321430,36,1
33,57437,727,Salaried,Female,1281916,36,0
30,50985,565,Salaried,Male,963423,120,0
36,294948,758,Self-employed,Female,335714,36,0
36,266355,637,Salaried,Male,1309411,24,1
54,270664,806,Self-employed,Male,1251300,360,1
30,196262,570,Salaried,Male,771541,60,1
21,233033,815,Salaried,Male,258965,24,0
50,221290,604,Government,Male,1449390,360,1
21,231647,408,Salaried,Male,1191698,360,1
21,123589,478,Contractor,Male,1573588,36,1
64,118479,739,Salaried,Male,624214,36,1
38,219941,443,Salaried,Female,186985,24,0
32,248706,464,Salaried,Male,613294,180,1
65,254107,535,Salaried,Female,692009,360,1
24,283819,785,Salaried,Male,1261729,180,1
28,65383,595,Salaried,Male,758018,12,1
37,52455,690,Government,Female,285994,48,0
65,195544,746,Contractor,Female,1212388,120,1
34,168366,585,Salaried,Male,449719,60,1
26,144446,738,Salaried,Female,869614,36,0
26,104568,512,Government,Female,1532120,180,0
38,257929,752,Government,Male,439058,60,1
40,128470,510,Government,Male,1127935,180,1
55,72934,787,Contractor,Male,1537842,120,1
30,86098,554,Contractor,Male,317511,36,1
61,209502,683,Contractor,Male,494082,36,1
49,129515,844,Salaried,Male,659492,36,1
30,224737,755,Contractor,Female,1314987,120,0
34,133559,458,Salaried,Female,483062,48,0
34,291018,831,Contractor,Male,1140373,60,0
28,293018,598,Government,Female,735846,60,1
27,254260,749,Self-employed,Male,813272,60,0
46,251617,785,Salaried,Female,1252698,48,0
44,181677,493,Salaried,Male,169847,60,1
35,163759,461,Self-employed,Male,1416209,12,0
49,164227,617,Self-employed,Female,585737,60,0
33,275635,726,Salaried,Female,536518,12,0
38,90568,467,Salaried,Male,694987,24,1
51,50109,826,Salaried,Female,585878,180,1
26,76809,499,Salaried,Female,1379923,180,1
41,47884,438,Salaried,Female,680761,60,1
32,49823,440,Salaried,Male,651771,60,1
48,230483,429,Self-employed,Female,1533975,360,0
25,234276,693,Self-employed,Female,1500587,60,1
53,195099,578,Salaried,Male,842113,48,1
29,259305,727,Self-employed,Male,1221696,48,1
63,259093,689,Contractor,Female,1398265,48,1
63,144374,679,Contractor,Male,232265,12,1
46,138033,698,Contractor,Male,274900,36,1
54,70303,698,Salaried,Male,1496495,60,0
48,158191,702,Government,Male,1072152,48,1
52,277711,809,Salaried,Female,847174,36,1
37,158227,512,Salaried,Male,991240,24,1
39,239312,815,Self-employed,Female,270447,360,1
26,155274,560,Government,Female,1491381,12,0
64,136408,799,Salaried,Male,996883,12,1
26,76757,776,Salaried,Male,148215,24,0
61,175039,446,Salaried,Female,1377049,48,1
34,270575,745,Contractor,Female,1364316,360,0
45,64826,801,Salaried,Female,660361,60,0
53,155880,790,Contractor,Male,1115816,48,0
32,226079,797,Self-employed,Female,779903,180,0
54,176039,439,Salaried,Male,1329405,12,1
64,245057,752,Self-employed,Female,1567064,360,1
44,203926,631,Government,Female,1175500,60,0
35,226751,669,Salaried,Male,1241437,60,1
55,272477,612,Government,Male,1090093,24,0
56,271107,714,Salaried,Female,1371167,120,1
35,59848,537,Salaried,Female,1408305,180,1
32,79280,479,Government,Female,579259,180,0
29,108716,608,Self-employed,Male,215951,180,0
44,52995,657,Government,Male,1227308,60,1
36,194774,553,Contractor,Female,773769,360,1
55,112313,457,Contractor,Female,250604,36,1
30,222205,460,Salaried,Male,1031112,360,1
63,181682,673,Salaried,Male,842300,36,1
30,218197,685,Contractor,Female,564970,60,1
31,215392,610,Salaried,Female,171687,24,0
41,277019,594,Salaried,Male,1443879,12,1
30,56335,722,Government,Female,593220,48,0
64,242285,409,Government,Male,734387,24,1
41,293586,639,Contractor,Female,823842,24,0
42,266214,838,Contractor,Female,1533789,360,0
60,213800,660,Salaried,Female,1499492,180,0
38,59119,723,Contractor,Female,1449305,60,1
42,268690,431,Contractor,Male,403504,180,0
44,124740,755,Salaried,Female,185182,48,1
59,135805,618,Salaried,Female,1409239,60,1
49,264806,703,Salaried,Female,1265220,180,1
46,83027,672,Contractor,Male,976910,60,1
48,211624,430,Salaried,Male,344975,36,0
41,181230,485,Government,Female,1512794,12,1
32,177276,668,Self-employed,Male,599725,180,1
28,277139,525,Salaried,Female,1276245,180,0
38,116956,514,Contractor,Male,830774,36,0
57,279531,685,Self-employed,Female,548170,360,0
41,293307,693,Self-employed,Female,493173,120,0
32,117273,740,Salaried,Male,1312857,36,1
39,282737,646,Salaried,Female,1497736,12,1
58,110418,605,Self-employed,Male,549667,12,0
45,91445,682,Salaried,Female,1593061,36,1
55,154202,584,Contractor,Female,402680,180,1
61,261745,580,Salaried,Male,233814,120,1
30,226994,601,Self-employed,Female,421414,120,0
26,110172,440,Salaried,Female,243696,12,0
50,247086,504,Contractor,Male,928676,120,0
32,119064,618,Salaried,Female,993399,48,1
41,118769,736,Salaried,Male,675910,360,1
34,66130,682,Contractor,Male,1599459,180,0
49,138155,717,Salaried,Male,1467130,120,1
23,146407,454,Government,Female,527750,60,0
21,232672,464,Salaried,Male,1017344,24,0
55,274915,610,Salaried,Female,1056687,60,0
47,145392,720,Salaried,Male,1461187,36,0
52,117521,497,Self-employed,Female,309896,48,0
40,133194,626,Salaried,Female,1538291,180,1
42,87617,419,Government,Male,587900,120,1
49,127328,587,Salaried,Male,821511,120,0
43,264526,661,Salaried,Male,1097365,24,1
27,282277,743,Contractor,Female,717615,12,1
46,187955,650,Government,Female,1109278,48,0
36,132414,441,Self-employed,Male,1593745,120,1
43,119872,834,Salaried,Female,790005,120,0
41,269853,733,Salaried,Female,153774,48,0
58,279553,692,Government,Male,284505,12,0
35,85812,681,Government,Male,1379066,180,1
37,117696,418,Government,Male,685962,60,1
53,176916,427,Salaried,Male,957360,180,1
51,187099,742,Government,Male,934801,24,0
21,89281,644,Salaried,Male,324495,24,0
48,134494,806,Government,Female,797338,36,1
30,223561,772,Government,Female,1451554,36,1
64,139862,701,Salaried,Female,376273,360,1
64,73378,791,Salaried,Male,1115103,120,1
25,132157,766,Self-employed,Male,1216849,360,1
33,106682,424,Government,Male,1147602,24,1
48,165516,753,Salaried,Male,381950,48,1
52,125620,740,Salaried,Female,1219195,24,0
63,221854,558,Contractor,Male,1289100,36,0
50,81400,788,Salaried,Female,1543434,120,0
25,147817,553,Salaried,Male,452534,12,0
58,276321,820,Contractor,Female,1395913,60,1
63,238459,464,Salaried,Female,647345,24,0
62,141814,752,Salaried,Male,1074712,12,1
35,194964,707,Government,Female,1487573,360,1
55,290294,675,Government,Female,1335628,12,1
26,199100,747,Government,Male,890245,360,0
61,216949,457,Contractor,Female,1258370,120,1
35,78474,724,Salaried,Female,1210124,60,0
62,103232,724,Contractor,Male,1337944,180,1
30,92317,730,Government,Female,896311,120,1
62,106820,759,Salaried,Female,379646,48,0
27,192102,757,Salaried,Male,1320292,180,1
32,128736,423,Contractor,Female,370046,360,1
46,142609,580,Self-employed,Female,1514997,180,1
28,241955,756,Salaried,Male,778921,360,1
63,91451,432,Government,Male,1165212,180,0
39,264820,816,Salaried,Male,1211239,48,0
48,173296,518,Salaried,Male,685170,180,1
65,264299,736,Salaried,Female,880802,120,0
30,232949,497,Self-employed,Male,892801,24,1
22,215267,466,Government,Female,1011360,60,1
47,89740,437,Government,Male,255671,60,1
47,288359,640,Self-employed,Female,960134,60,0
21,137663,535,Salaried,Male,649364,48,0
22,69269,612,Salaried,Female,1006461,360,0
25,288268,454,Contractor,Male,235789,36,1
26,128477,829,Salaried,Male,1005330,180,1
53,103912,569,Contractor,Female,895286,360,1
40,74827,656,Self-employed,Female,262624,60,0
45,210999,586,Salaried,Male,751907,180,1
64,106330,581,Contractor,Female,1458606,360,1
51,227281,818,Self-employed,Male,1575343,36,1
56,133466,769,Contractor,Female,625757,60,0
21,203996,763,Salaried,Female,1553948,120,0
56,191405,655,Salaried,Male,401731,48,0
22,268175,448,Salaried,Female,252449,180,1
56,76524,684,Salaried,Male,1527035,60,1
29,155859,563,Salaried,Male,857656,48,1
58,111432,830,Self-employed,Female,772116,180,1
48,138042,443,Salaried,Male,508502,36,1
54,149600,610,Salaried,Male,536707,180,1
25,150915,655,Self-employed,Female,1028095,36,0
34,149543,468,Salaried,Male,398545,180,1
26,268667,666,Salaried,Female,473728,24,0
57,292694,496,Self-employed,Male,887570,120,1
54,151511,626,Contractor,Female,1129133,180,1
28,129025,583,Self-employed,Female,625780,48,0
37,147754,533,Contractor,Male,1529138,36,1
41,139752,543,Government,Female,974794,360,0
27,152856,452,Self-employed,Male,595424,12,1
37,47144,435,Self-employed,Female,692616,360,1
39,230082,481,Contractor,Male,1300156,12,1
53,224326,507,Salaried,Male,1425367,48,0
59,259217,474,Government,Female,736712,360,0
58,240491,793,Contractor,Male,152457,12,1
42,58896,423,Self-employed,Male,1587583,48,1
46,209102,464,Salaried,Male,159804,48,0
34,130762,458,Contractor,Male,1249443,360,0
21,131557,476,Salaried,Male,178200,360,0
49,249345,780,Self-employed,Male,384094,60,1
42,135456,417,Self-employed,Male,749997,360,1
53,277973,489,Self-employed,Male,263677,60,0
57,95759,834,Contractor,Female,359107,24,1
65,199890,678,Contractor,Female,945395,36,1
57,171122,642,Contractor,Male,138732,180,0
47,270731,475,Government,Male,609778,12,0
50,93451,528,Government,Female,440350,36,0
28,94927,525,Contractor,Female,808173,120,0
55,117414,496,Salaried,Female,718755,60,1
31,203173,666,Salaried,Female,351731,60,0
30,85519,636,Contractor,Female,419478,360,1
26,55828,548,Contractor,Female,1299034,60,0
33,186904,464,Salaried,Female,639846,24,1
51,146256,510,Salaried,Male,144981,360,1
33,237911,445,Salaried,Male,1403890,60,1
55,147964,631,Self-employed,Male,881853,180,1
35,89779,816,Salaried,Female,1052883,180,1
24,159457,848,Contractor,Female,1528971,12,1
43,293166,751,Salaried,Male,277079,120,1
65,281023,500,Government,Female,711981,12,1
42,81585,516,Self-employed,Male,1596551,36,1
26,96202,706,Contractor,Male,1010441,360,0
25,188139,619,Salaried,Female,960208,60,0
32,63483,601,Contractor,Female,1551726,180,0
60,129550,581,Salaried,Female,745234,60,1
47,229680,573,Government,Female,1412920,48,1
29,161476,695,Self-employed,Male,1349611,24,1
57,287472,741,Salaried,Male,609542,36,1
60,291736,743,Salaried,Female,285692,180,0
29,70446,675,Contractor,Male,166162,24,1
29,271978,512,Government,Male,664031,48,1
28,239840,414,Salaried,Male,1579829,48,0
35,46865,481,Self-employed,Male,305275,12,1
33,260513,784,Government,Male,885388,48,1
56,96603,797,Salaried,Male,1128500,12,0
48,188285,682,Contractor,Female,877946,60,1
44,53009,441,Contractor,Female,1080921,360,0
22,292597,832,Salaried,Female,279587,180,0
35,220644,663,Self-employed,Female,210690,60,1
30,210487,849,Self-employed,Female,730097,180,1
64,200835,577,Salaried,Female,753915,48,0
48,76611,715,Salaried,Female,1131328,120,0
22,265774,492,Contractor,Female,410214,180,0
22,162170,615,Salaried,Male,801754,60,1
63,290709,486,Salaried,Male,666099,36,0
62,88419,427,Self-employed,Male,1136249,48,1
22,175262,464,Contractor,Female,782263,24,0
65,239662,605,Self-employed,Male,1259592,60,1
50,175722,485,Salaried,Female,182704,360,1
40,141170,769,Salaried,Female,542532,36,1
29,185955,588,Salaried,Female,886484,36,1
57,250965,841,Salaried,Male,1551455,120,1
27,229388,700,Self-employed,Male,675959,120,1
27,112464,744,Government,Female,651095,180,0
52,151417,535,Salaried,Male,1158220,360,1
53,121074,419,Contractor,Male,1153558,180,0
46,200516,806,Contractor,Male,590375,12,1
27,45057,708,Self-employed,Male,1269891,60,0
60,208193,799,Government,Female,364815,120,0
33,45836,497,Government,Male,959680,60,1
25,81955,462,Salaried,Male,683374,36,1
41,118870,505,Self-employed,Female,655010,24,0
21,77573,620,Self-employed,Male,637188,120,0
59,181718,775,Government,Female,1401566,360,1
40,182199,649,Salaried,Female,107752,12,1
26,119350,593,Salaried,Male,711960,48,1
65,255894,849,Government,Male,226472,48,1
50,47739,833,Government,Male,709778,360,0
29,271395,746,Contractor,Female,1111914,36,1
47,153233,419,Salaried,Female,1031127,48,1
42,177759,530,Contractor,Female,701189,120,0
27,243926,830,Salaried,Female,434663,180,1
54,211571,613,Salaried,Female,279297,120,0
36,117942,756,Salaried,Male,630844,60,1
26,112548,415,Contractor,Female,826449,360,0
34,124840,720,Salaried,Female,561562,60,0
37,275287,458,Salaried,Male,112797,60,0
38,193941,823,Self-employed,Male,1354863,24,0
35,257071,695,Government,Female,1593983,60,1
65,99430,779,Self-employed,Male,390927,12,0
44,133642,677,Government,Male,918617,48,1
29,209765,680,Salaried,Male,1439946,180,1
65,55705,451,Self-employed,Male,322497,24,1
42,94728,629,Salaried,Female,1097692,48,0
56,136681,524,Salaried,Male,852557,36,0
64,120266,684,Contractor,Male,328408,120,0
42,160830,520,Self-employed,Male,855668,60,1
21,255693,581,Salaried,Female,865121,36,0
39,180363,710,Salaried,Male,1228975,60,1
35,70696,765,Salaried,Male,1405969,360,1
36,180605,623,Salaried,Male,862314,360,1
53,127243,827,Government,Male,287120,180,1
43,154826,472,Self-employed,Male,940734,120,1
50,78780,837,Government,Male,1132343,360,1
42,49133,529,Salaried,Male,737972,360,1
44,118785,544,Salaried,Female,1118321,60,0
44,229154,638,Self-employed,Female,289658,60,1
44,211721,795,Salaried,Male,1040286,120,1
36,185228,670,Salaried,Female,414641,180,1
35,237018,486,Government,Male,682339,360,1
62,176366,416,Salaried,Male,124582,180,0
50,88259,494,Contractor,Female,428856,36,1
44,153834,807,Salaried,Male,672092,36,1
45,293936,733,Salaried,Male,151411,24,1
41,121238,435,Contractor,Female,1374304,12,1
42,256246,844,Government,Male,611300,12,0
27,124244,584,Salaried,Male,551622,360,1
64,231489,429,Salaried,Female,1403688,24,0
32,49704,530,Self-employed,Female,1268569,360,0
63,66832,641,Self-employed,Male,381962,24,0
32,68635,755,Contractor,Male,663003,12,1
48,59078,487,Salaried,Female,1486303,120,0
34,49287,837,Self-employed,Male,995442,360,1
58,217492,493,Government,Male,1253004,360,1
31,280545,443,Self-employed,Female,1178345,60,1
65,99167,591,Government,Male,208959,12,0
52,266474,694,Contractor,Female,720296,60,0
36,214250,578,Salaried,Male,327003,48,1
39,212753,669,Government,Male,1407855,120,1
65,247325,721,Government,Female,230855,48,1
29,52952,744,Government,Female,168508,36,0
64,210616,800,Salaried,Female,1416827,360,0
51,171428,607,Salaried,Female,360019,24,0
55,290521,702,Salaried,Male,263146,120,1
27,123334,408,Salaried,Male,1383043,36,1
37,222998,476,Contractor,Male,1174130,36,1
40,290789,407,Salaried,Female,574720,180,0
62,131002,433,Contractor,Male,1488667,180,1
22,47317,710,Salaried,Female,414009,120,1
25,58051,657,Salaried,Male,1160789,24,1
52,205916,632,Self-employed,Male,606151,180,1
38,124520,595,Contractor,Female,1225952,24,1
56,267846,607,Self-employed,Male,1437935,48,1
32,74136,664,Self-employed,Male,1415578,24,1
54,144247,448,Government,Male,1237612,180,1
56,49217,445,Salaried,Female,729620,24,1
60,129158,839,Self-employed,Female,1107039,48,0
51,287261,835,Contractor,Male,341277,12,1
40,268311,729,Contractor,Male,1040444,360,1
22,123818,820,Salaried,Male,513636,36,1
49,127807,576,Government,Female,771860,360,1
61,69498,817,Salaried,Female,573279,12,0
23,76932,451,Government,Female,1124611,24,0
25,140369,686,Salaried,Male,1021212,180,1
43,294872,552,Self-employed,Female,750284,36,1
48,140267,403,Salaried,Male,1283782,36,1
48,223894,417,Government,Male,1190612,24,1
44,255056,427,Government,Female,483999,12,1
47,68584,533,Self-employed,Male,874630,12,1
46,272782,767,Government,Female,1410438,36,1
21,76540,777,Salaried,Male,577843,24,1
42,146862,513,Salaried,Female,355284,12,1
62,168150,433,Self-employed,Male,939967,360,1
36,262123,717,Government,Female,1578820,24,1
38,166782,782,Salaried,Male,791446,180,1
46,256954,690,Self-employed,Female,1028055,180,0
29,279514,460,Self-employed,Male,841333,360,1
55,210215,820,Contractor,Male,1482128,60,0
35,156661,732,Salaried,Female,390297,180,1
29,86713,456,Salaried,Female,967936,12,1
41,192932,509,Government,Female,349807,180,0
46,177752,776,Salaried,Male,945970,60,1
38,106515,456,Contractor,Female,1023759,180,1
30,222394,774,Government,Male,1083324,60,1
42,138062,469,Contractor,Male,1357233,24,1
41,285649,730,Government,Female,1295808,24,0
34,97696,690,Government,Female,216032,48,1
21,229206,510,Government,Male,1282403,24,1
36,271367,406,Self-employed,Female,811002,36,0
46,186797,445,Contractor,Female,1470006,180,0
48,97729,764,Self-employed,Male,254960,120,0
21,117490,689,Self-employed,Male,225482,36,0
65,234606,415,Government,Male,282200,48,1
58,230072,574,Government,Male,142208,24,1
41,181811,455,Government,Female,1379540,48,1
41,198874,458,Contractor,Male,1373493,36,1
35,148068,499,Government,Female,149278,60,1
37,103267,713,Contractor,Male,1098753,36,1
22,293131,722,Self-employed,Male,1551029,48,1
33,102308,429,Contractor,Male,1160480,36,0
42,256331,596,Self-employed,Male,250625,60,1
31,69497,447,Contractor,Male,1098264,48,0
49,231100,423,Government,Female,1145145,48,1
37,234994,486,Government,Male,1332553,24,1
54,287956,540,Salaried,Male,1310059,360,0
53,268582,669,Salaried,Female,995510,12,0
47,101965,599,Self-employed,Female,172464,360,0
56,161989,536,Salaried,Male,969656,36,1
64,75862,443,Salaried,Male,443660,120,1
24,54625,757,Government,Female,820413,36,0
44,215242,694,Salaried,Female,1380896,24,1
58,110117,406,Salaried,Female,949400,360,1
33,109295,527,Government,Male,485575,24,1
36,137481,650,Salaried,Female,1082833,36,1
22,95798,580,Salaried,Male,113692,120,1
64,220667,599,Government,Female,251194,60,1
22,174742,556,Salaried,Female,771880,12,0
38,260154,544,Self-employed,Female,1208964,36,1
34,95228,463,Salaried,Male,224170,48,1
38,207701,440,Contractor,Female,906422,180,1
57,288961,438,Salaried,Male,501515,60,1
47,223111,578,Salaried,Male,457240,48,1
32,46171,809,Contractor,Female,1501201,120,0
49,281941,710,Salaried,Male,546831,24,1
38,200458,433,Self-employed,Male,1499739,12,1
22,83321,470,Contractor,Female,357560,60,1
39,259403,645,Salaried,Female,1149261,12,1
41,66223,618,Contractor,Female,128098,48,0
37,227163,502,Salaried,Male,1262338,24,1
45,205231,628,Salaried,Male,631681,60,1
55,88070,682,Government,Female,1049677,360,1
51,229290,519,Government,Male,600513,60,0
24,113291,718,Self-employed,Female,1023900,36,0
33,181188,724,Salaried,Female,1057463,36,1
43,188793,451,Government,Female,452267,48,1
35,130036,837,Salaried,Female,709823,12,1
27,96473,470,Salaried,Male,1110275,24,1
36,45742,468,Salaried,Female,1424673,36,1
23,204073,634,Self-employed,Male,411477,24,0
58,51679,703,Contractor,Female,507588,180,1
61,88774,816,Salaried,Female,628818,180,1
32,140207,436,Contractor,Male,1375542,180,0
